order_id,customer_id,order_date,total_amount,payment_method,order_status
900038,13024,2025-01-20,22022,Credit Card,Returned
900039,11818,2023-10-21,18975,Credit Card,Delivered
900040,13373,2025-04-26,11384,Debit Card,Delivered
900041,10684,2024-09-02,21718,UPI,Delivered
900042,11233,2024-03-15,21082,Credit Card,Delivered
900043,13386,2023-05-31,4765,Net Banking,Delivered
900044,10617,2024-04-25,5246,Credit Card,Delivered
900045,12074,2023-09-15,10814,COD,Delivered
900046,12911,2025-05-17,8538,COD,Delivered
900047,12018,2023-05-29,3961,Net Banking,Delivered
900048,14224,2023-05-22,2864,Debit Card,Delivered
900049,14509,2023-09-08,20009,COD,Delivered
900050,12185,2025-01-15,5227,Debit Card,Delivered
900051,11358,2024-10-05,11158,Debit Card,Delivered
900052,14667,2023-02-16,17439,Net Banking,Delivered
900053,13064,2024-01-07,15595,COD,Delivered
900054,12469,2023-04-04,1752,Credit Card,Returned
900055,13921,2025-01-30,6479,Debit Card,Delivered
900056,14237,2023-12-22,17588,Debit Card,Cancelled
900057,11940,2024-06-15,2754,COD,Delivered
900058,13857,2024-11-22,20171,COD,Cancelled
900059,10051,2023-09-29,4360,Net Banking,Delivered
900060,12977,2024-03-04,22488,UPI,Delivered
900061,11361,2024-10-09,15047,UPI,Delivered
900062,13737,2025-01-18,12255,UPI,Delivered
900063,13803,2024-12-02,9270,Debit Card,Delivered
900064,13803,2024-12-24,18474,Net Banking,Delivered
900065,10366,2023-03-05,14526,UPI,Delivered
900066,12956,2025-05-21,13419,COD,Cancelled
900067,13046,2023-06-13,24172,Debit Card,Delivered
900068,12004,2024-01-24,13684,Debit Card,Delivered
900069,12902,2024-04-13,24420,COD,Delivered
900070,10258,2024-07-03,1901,Net Banking,Delivered
900071,13460,2024-12-27,4143,Net Banking,Delivered
900072,10045,2024-06-14,22951,UPI,Cancelled
900073,10269,2025-02-04,16044,COD,Cancelled
900074,11335,2024-08-08,3975,Credit Card,Cancelled
900075,10672,2024-10-14,12349,Net Banking,Delivered
900076,13639,2023-01-17,1305,UPI,Delivered
900077,10235,2024-08-29,531,Debit Card,Cancelled
900078,13208,2025-01-15,12145,Net Banking,Cancelled
900079,12401,2023-10-28,23260,Credit Card,Delivered
900080,11418,2023-03-29,16674,Debit Card,Delivered
900081,14371,2025-03-20,21270,Debit Card,Delivered
900082,13255,2024-07-16,16530,COD,Delivered
900083,10440,2023-09-02,18817,COD,Delivered
900084,14968,2024-04-11,15689,Net Banking,Delivered
900085,10651,2024-03-17,18374,Credit Card,Delivered
900086,10034,2023-04-23,17907,COD,Delivered
900087,12753,2024-03-17,5270,UPI,Delivered
900088,14963,2023-01-08,18887,Debit Card,Delivered
900089,13033,2024-07-02,15392,UPI,Delivered
900090,14928,2024-07-12,9389,Debit Card,Delivered
900091,11111,2023-04-10,15167,UPI,Cancelled
900092,13282,2023-12-11,8182,Debit Card,Delivered
900093,10462,2024-11-15,8643,COD,Cancelled
900094,10322,2025-01-22,18035,UPI,Delivered
900095,14511,2024-04-25,16855,Net Banking,Delivered
900096,11875,2024-12-03,5824,Net Banking,Delivered
900097,13040,2023-12-08,1729,Credit Card,Delivered
900098,12238,2023-08-22,24692,Credit Card,Delivered
900099,14022,2025-03-03,21541,Credit Card,Delivered
900100,11257,2023-08-23,22501,UPI,Delivered
900101,12440,2023-05-06,20117,Debit Card,Delivered
900102,14010,2024-11-20,3499,Credit Card,Delivered
900103,13241,2024-04-21,10390,COD,Delivered
900104,14264,2024-11-15,18043,Net Banking,Delivered
900105,13303,2024-01-07,22557,Net Banking,Cancelled
900106,12712,2023-04-30,7732,COD,Delivered
900107,11410,2024-06-25,14369,Net Banking,Delivered
900108,12429,2024-07-13,16783,UPI,Delivered
900109,11833,2023-06-28,14175,COD,Delivered
900110,12025,2023-04-04,20126,UPI,Delivered
900111,13347,2024-07-20,19733,Net Banking,Delivered
900112,14994,2025-01-17,13496,COD,Returned
900113,13932,2023-10-29,17270,COD,Delivered
900114,12912,2025-03-09,11459,COD,Delivered
900115,14958,2024-02-22,16939,Net Banking,Cancelled
900116,14246,2025-05-09,18157,Net Banking,Delivered
900117,13214,2024-08-08,17404,Net Banking,Delivered
900118,12164,2024-03-27,18684,Credit Card,Delivered
900119,14920,2024-02-21,3307,Credit Card,Cancelled
900120,11453,2025-04-03,14266,Debit Card,Delivered
900121,12754,2023-05-02,24630,COD,Delivered
900122,12902,2023-02-26,21186,Net Banking,Delivered
900123,13072,2025-02-23,13996,COD,Delivered
900124,14047,2023-05-19,22874,UPI,Delivered
900125,10306,2023-07-18,12702,UPI,Delivered
900126,11385,2024-12-21,5412,Net Banking,Delivered
900127,13368,2025-02-23,18415,Credit Card,Delivered
900128,11575,2023-12-27,21585,Debit Card,Delivered
900129,10873,2024-10-11,18861,Credit Card,Delivered
900130,10169,2024-02-14,1880,COD,Delivered
900131,11604,2024-10-07,3526,Credit Card,Returned
900132,11031,2025-04-28,4890,Net Banking,Delivered
900133,11735,2024-06-11,18536,Credit Card,Delivered
900134,14443,2024-09-06,16765,UPI,Delivered
900135,13668,2023-08-31,20534,Net Banking,Cancelled
900136,14831,2023-03-31,3312,Net Banking,Delivered
900137,11277,2024-05-30,19400,Net Banking,Delivered
900138,10543,2023-03-03,23876,Credit Card,Cancelled
900139,10355,2023-07-31,24185,UPI,Cancelled
900140,14809,2023-09-05,5601,Credit Card,Delivered
900141,14037,2024-12-04,18139,COD,Delivered
900142,13440,2024-05-11,23636,Debit Card,Cancelled
900143,10584,2023-02-25,3412,Debit Card,Delivered
900144,10511,2024-04-03,6888,Debit Card,Delivered
900145,10947,2023-10-16,24246,COD,Delivered
900146,13474,2024-06-26,24791,COD,Delivered
900147,11199,2024-04-14,5681,COD,Delivered
900148,12872,2024-01-24,14367,UPI,Delivered
900149,13996,2024-02-25,2404,Net Banking,Delivered
900150,13922,2024-05-27,18737,COD,Delivered
900151,14174,2024-12-10,8026,Debit Card,Cancelled
900152,14536,2024-07-10,10090,Debit Card,Delivered
900153,13304,2024-07-12,17628,Credit Card,Delivered
900154,12448,2025-01-03,24769,Net Banking,Delivered
900155,13285,2025-03-08,9070,COD,Delivered
900156,11217,2023-03-22,9406,Net Banking,Delivered
900157,11291,2024-03-19,14306,COD,Delivered
900158,14222,2025-03-02,24148,Debit Card,Delivered
900159,10502,2023-10-14,22420,Net Banking,Delivered
900160,12872,2023-10-11,1074,Net Banking,Delivered
900161,10387,2024-05-05,356,COD,Delivered
900162,10412,2024-01-23,23355,COD,Delivered
900163,12007,2024-12-01,7526,Net Banking,Delivered
900164,12148,2024-07-04,20728,COD,Delivered
900165,13869,2024-08-17,845,Net Banking,Delivered
900166,11339,2024-02-12,19664,Credit Card,Delivered
900167,10353,2023-11-23,5206,Net Banking,Delivered
900168,14965,2023-06-25,9905,UPI,Delivered
900169,13189,2024-06-04,6695,Net Banking,Delivered
900170,11303,2025-02-28,14801,Credit Card,Delivered
900171,10847,2024-01-18,22182,Credit Card,Cancelled
900172,10526,2023-09-15,12575,Debit Card,Delivered
900173,12525,2023-12-13,3688,Debit Card,Delivered
900174,11879,2023-09-29,19887,UPI,Delivered
900175,14106,2023-09-18,18096,COD,Returned
900176,13631,2024-01-31,11121,COD,Delivered
900177,13810,2024-11-22,871,Credit Card,Delivered
900178,12820,2023-06-03,18424,Credit Card,Delivered
900179,12908,2024-06-10,16409,Debit Card,Delivered
900180,13078,2023-03-08,4227,Credit Card,Delivered
900181,13831,2025-04-20,17031,Net Banking,Delivered
900182,11059,2024-11-29,17528,Net Banking,Delivered
900183,12490,2023-12-14,19349,UPI,Delivered
900184,13649,2023-03-04,4892,Net Banking,Cancelled
900185,13265,2023-12-22,22653,UPI,Cancelled
900186,13602,2023-10-08,22758,Debit Card,Delivered
900187,12294,2023-02-10,20274,Net Banking,Delivered
900188,10675,2024-06-23,10991,UPI,Delivered
900189,11879,2024-01-02,16899,COD,Delivered
900190,11012,2023-10-04,6913,UPI,Cancelled
900191,10794,2023-08-09,11392,Net Banking,Delivered
900192,10233,2024-12-29,18053,UPI,Delivered
900193,13028,2025-01-03,8777,Debit Card,Delivered
900194,13610,2023-03-02,8352,Credit Card,Delivered
900195,12174,2023-04-13,3359,COD,Delivered
900196,13385,2023-07-04,350,Debit Card,Delivered
900197,14607,2023-05-27,5838,COD,Cancelled
900198,12329,2023-03-16,2025,COD,Delivered
900199,10798,2024-04-17,15710,UPI,Delivered
900200,13685,2023-01-01,4866,Credit Card,Delivered
900201,14488,2024-02-20,11795,UPI,Delivered
900202,14478,2024-04-13,8157,UPI,Delivered
900203,12590,2023-12-31,11209,Net Banking,Delivered
900204,14702,2025-04-24,8126,UPI,Delivered
900205,14212,2024-11-04,14091,Credit Card,Delivered
900206,10509,2023-01-17,18013,Debit Card,Delivered
900207,11464,2024-05-24,4833,UPI,Delivered
900208,13363,2025-01-24,20006,Credit Card,Delivered
900209,13111,2024-03-14,19582,UPI,Delivered
900210,11048,2025-05-28,15791,COD,Returned
900211,14872,2024-06-14,17207,UPI,Delivered
900212,14436,2025-04-21,4901,Net Banking,Delivered
900213,10169,2023-02-28,19637,COD,Delivered
900214,11562,2024-12-13,19873,Credit Card,Delivered
900215,13173,2023-04-25,18792,UPI,Delivered
900216,10575,2023-07-22,10430,COD,Returned
900217,11743,2025-03-16,1504,COD,Delivered
900218,14571,2024-06-26,20723,Debit Card,Delivered
900219,14017,2023-07-13,4382,COD,Delivered
900220,12359,2024-04-16,23140,Credit Card,Delivered
900221,14025,2023-04-16,21832,UPI,Delivered
900222,10531,2025-05-28,3634,COD,Cancelled
900223,10991,2025-03-28,1011,Credit Card,Delivered
900224,12121,2023-05-06,9404,Debit Card,Delivered
900225,14965,2024-02-18,6010,UPI,Returned
900226,12442,2024-09-06,10226,Net Banking,Delivered
900227,12529,2024-11-05,16277,COD,Delivered
900228,12521,2024-05-24,10628,COD,Delivered
900229,14409,2024-05-15,631,Debit Card,Returned
900230,11462,2025-04-06,24843,Credit Card,Delivered
900231,10952,2023-05-01,16090,Debit Card,Delivered
900232,10965,2025-01-21,4134,Credit Card,Delivered
900233,12135,2024-08-29,16477,UPI,Delivered
900234,14455,2023-07-27,9199,COD,Returned
900235,10695,2024-10-22,7510,Net Banking,Delivered
900236,12245,2023-12-16,6104,Debit Card,Delivered
900237,12804,2025-03-30,24341,Net Banking,Delivered
900238,13912,2023-07-12,8033,Net Banking,Delivered
900239,13025,2024-10-15,552,COD,Delivered
900240,11409,2025-02-22,9490,COD,Delivered
900241,14594,2025-04-02,14422,Net Banking,Delivered
900242,12979,2024-01-28,6127,UPI,Delivered
900243,10462,2024-05-11,20239,Net Banking,Delivered
900244,11618,2024-01-27,8784,Credit Card,Delivered
900245,10417,2024-12-13,24491,Credit Card,Delivered
900246,11389,2024-11-04,7852,Credit Card,Cancelled
900247,14368,2023-04-19,14651,Credit Card,Delivered
900248,14488,2024-04-14,16720,Debit Card,Cancelled
900249,12595,2023-12-16,1744,UPI,Cancelled
900250,14821,2025-02-13,22706,Debit Card,Delivered
900251,11747,2024-12-22,21075,Debit Card,Delivered
900252,13502,2023-05-29,23262,Credit Card,Delivered
900253,12860,2023-09-13,24588,UPI,Returned
900254,13979,2024-01-24,8093,UPI,Cancelled
900255,14491,2023-07-18,6977,Net Banking,Returned
900256,14758,2024-03-18,24150,Debit Card,Returned
900257,10853,2025-04-28,23401,UPI,Delivered
900258,13291,2023-07-05,8161,COD,Delivered
900259,11712,2023-12-10,23867,Debit Card,Delivered
900260,12526,2024-11-07,13568,UPI,Delivered
900261,13647,2023-04-18,10934,COD,Delivered
900262,12031,2024-08-17,6720,COD,Delivered
900263,10237,2025-03-23,21428,COD,Delivered
900264,11057,2023-03-21,4678,Credit Card,Delivered
900265,12261,2023-09-10,18346,Net Banking,Delivered
900266,12427,2023-01-25,1298,Net Banking,Delivered
900267,11026,2023-10-10,4602,UPI,Delivered
900268,10909,2024-07-16,8130,UPI,Delivered
900269,10450,2025-06-05,15198,Net Banking,Delivered
900270,10569,2024-09-11,19208,COD,Cancelled
900271,13499,2023-08-26,14354,UPI,Delivered
900272,12861,2023-11-12,7035,Credit Card,Delivered
900273,12327,2025-04-19,430,Credit Card,Delivered
900274,14310,2024-04-07,12723,Net Banking,Delivered
900275,11309,2024-11-28,11909,UPI,Delivered
900276,10718,2024-08-14,10709,UPI,Delivered
900277,10970,2025-04-19,19700,COD,Delivered
900278,13346,2024-08-30,1486,UPI,Delivered
900279,12486,2024-01-17,4594,Net Banking,Returned
900280,13656,2024-04-09,8435,UPI,Delivered
900281,12719,2023-05-30,21518,UPI,Delivered
900282,10904,2023-12-18,23899,Credit Card,Delivered
900283,11451,2024-03-17,24673,Net Banking,Delivered
900284,11456,2024-01-30,11304,Debit Card,Delivered
900285,14231,2023-12-31,10009,Net Banking,Delivered
900286,10532,2023-01-06,20882,Net Banking,Delivered
900287,12268,2024-06-17,16689,Debit Card,Delivered
900288,10333,2023-08-08,17394,Debit Card,Delivered
900289,11322,2025-05-20,24887,Credit Card,Delivered
900290,14053,2023-01-12,2450,COD,Delivered
900291,11709,2025-03-05,23526,Net Banking,Returned
900292,13527,2024-01-20,14444,Net Banking,Delivered
900293,10401,2024-12-04,21206,Net Banking,Delivered
900294,13631,2024-04-02,12758,Net Banking,Delivered
900295,13038,2023-08-13,6108,Credit Card,Delivered
900296,13992,2023-12-02,21634,Net Banking,Cancelled
900297,11479,2023-06-16,19966,Debit Card,Delivered
900298,11915,2023-11-12,8192,Debit Card,Delivered
900299,11058,2023-04-26,5853,UPI,Delivered
900300,12994,2025-04-17,20288,Credit Card,Delivered
900301,10042,2024-05-12,7454,UPI,Delivered
900302,14897,2023-05-28,7439,Net Banking,Delivered
900303,12171,2023-02-05,15779,Credit Card,Delivered
900304,10027,2024-02-11,20666,Credit Card,Delivered
900305,13534,2024-01-20,477,COD,Delivered
900306,12619,2025-01-26,15788,COD,Delivered
900307,11171,2024-02-15,11102,UPI,Delivered
900308,13699,2023-11-04,4813,UPI,Delivered
900309,10711,2024-10-03,9045,Debit Card,Delivered
900310,13200,2023-08-28,11881,Debit Card,Delivered
900311,12424,2024-01-02,8074,Debit Card,Delivered
900312,12019,2025-05-05,16925,Credit Card,Delivered
900313,14761,2023-10-31,9871,Net Banking,Delivered
900314,14879,2024-09-08,10088,UPI,Delivered
900315,12899,2023-06-16,8328,Debit Card,Delivered
900316,12048,2024-07-07,14049,Credit Card,Delivered
900317,11559,2025-02-04,14053,COD,Delivered
900318,13595,2025-05-11,10496,Net Banking,Delivered
900319,11723,2023-10-28,24079,COD,Delivered
900320,14053,2025-06-16,1600,COD,Delivered
900321,11652,2023-07-24,8223,Net Banking,Delivered
900322,11779,2023-07-14,24162,Credit Card,Delivered
900323,10684,2023-06-20,20079,COD,Delivered
900324,11280,2025-01-31,17754,Credit Card,Delivered
900325,12295,2024-09-07,21601,COD,Delivered
900326,12011,2025-05-24,6973,Debit Card,Delivered
900327,11216,2024-02-06,12276,Net Banking,Delivered
900328,12583,2023-02-08,23327,UPI,Cancelled
900329,11894,2025-01-17,4587,Net Banking,Delivered
900330,10314,2024-10-07,14684,COD,Delivered
900331,13995,2023-09-09,6537,COD,Delivered
900332,10444,2024-11-12,21710,Debit Card,Delivered
900333,11672,2023-10-10,4105,Debit Card,Returned
900334,12917,2023-07-26,2514,Net Banking,Cancelled
900335,13267,2024-05-14,24805,UPI,Delivered
900336,14678,2023-05-23,24932,Net Banking,Delivered
900337,14644,2023-01-19,22833,UPI,Delivered
900338,13096,2024-12-02,16921,Credit Card,Delivered
900339,14561,2024-07-29,1032,COD,Delivered
900340,11865,2025-01-11,15225,Credit Card,Delivered
900341,10716,2025-03-29,22847,Net Banking,Delivered
900342,10892,2024-11-17,20573,UPI,Delivered
900343,13808,2025-04-04,3124,UPI,Delivered
900344,10501,2023-01-20,17911,Credit Card,Delivered
900345,12783,2025-02-26,23203,Debit Card,Returned
900346,12641,2025-04-29,2754,Debit Card,Delivered
900347,14503,2024-03-23,22907,Credit Card,Delivered
900348,11354,2023-08-14,12797,Debit Card,Delivered
900349,10703,2025-01-12,17451,UPI,Delivered
900350,12334,2023-04-11,11875,Net Banking,Delivered
900351,12195,2025-01-08,8468,Debit Card,Delivered
900352,12010,2023-10-21,2724,UPI,Returned
900353,10384,2024-07-03,6483,Net Banking,Delivered
900354,12059,2023-03-06,20108,UPI,Cancelled
900355,12324,2024-05-13,21232,COD,Delivered
900356,10886,2023-03-17,24274,Net Banking,Delivered
900357,11592,2024-12-04,17397,COD,Delivered
900358,14399,2024-09-26,16769,Debit Card,Delivered
900359,12252,2023-05-05,18262,Debit Card,Cancelled
900360,14441,2023-01-27,23063,UPI,Delivered
900361,11784,2024-09-06,2316,Credit Card,Delivered
900362,14922,2023-10-03,11978,UPI,Delivered
900363,14118,2024-07-25,6001,COD,Delivered
900364,12584,2024-11-10,20398,Net Banking,Delivered
900365,11730,2023-03-24,13231,Credit Card,Delivered
900366,10263,2024-04-30,9763,UPI,Delivered
900367,12632,2024-04-07,15302,COD,Delivered
900368,13827,2023-01-06,15888,COD,Delivered
900369,12431,2024-11-06,19092,Debit Card,Delivered
900370,10392,2024-01-03,15503,UPI,Delivered
900371,12937,2024-04-15,23002,UPI,Cancelled
900372,13673,2024-12-14,7271,COD,Delivered
900373,10540,2024-03-24,19535,UPI,Delivered
900374,11116,2024-11-19,1697,Debit Card,Returned
900375,10884,2024-01-05,10457,Credit Card,Returned
900376,14324,2023-12-06,4456,COD,Delivered
900377,12420,2024-10-29,19925,Debit Card,Delivered
900378,11400,2023-10-05,1830,Debit Card,Delivered
900379,11577,2023-12-06,1074,Net Banking,Delivered
900380,12085,2025-03-25,19145,Credit Card,Delivered
900381,14787,2024-09-05,8285,Debit Card,Delivered
900382,11536,2023-03-21,8607,Net Banking,Delivered
900383,14754,2024-12-06,7642,Net Banking,Delivered
900384,10090,2025-03-03,21931,UPI,Delivered
900385,14191,2024-08-25,24340,Debit Card,Delivered
900386,11655,2023-03-08,15664,COD,Delivered
900387,11902,2023-08-03,18033,UPI,Delivered
900388,12680,2024-02-20,19429,Credit Card,Delivered
900389,12171,2023-05-25,13810,COD,Delivered
900390,10366,2024-07-05,15890,COD,Delivered
900391,13961,2024-12-24,19531,Net Banking,Delivered
900392,12373,2023-10-13,8314,Debit Card,Delivered
900393,10519,2024-07-24,926,Net Banking,Delivered
900394,14992,2024-06-23,22269,Net Banking,Delivered
900395,13711,2023-02-16,6261,Debit Card,Delivered
900396,10830,2023-08-25,13924,Debit Card,Delivered
900397,12634,2023-04-27,13110,Debit Card,Delivered
900398,10271,2023-05-31,24275,Net Banking,Delivered
900399,12987,2023-03-24,23814,Debit Card,Delivered
900400,13539,2023-02-26,14559,Debit Card,Delivered
900401,14565,2024-12-29,10913,COD,Delivered
900402,14815,2024-01-20,19741,Net Banking,Delivered
900403,11008,2023-08-08,6167,Debit Card,Delivered
900404,12318,2023-10-12,22620,Net Banking,Delivered
900405,10605,2025-01-23,23889,Credit Card,Delivered
900406,14474,2024-03-09,11323,UPI,Delivered
900407,10177,2023-11-16,22691,COD,Delivered
900408,12322,2024-09-02,9511,COD,Delivered
900409,11715,2023-08-30,2306,Net Banking,Cancelled
900410,10637,2024-04-09,10054,Debit Card,Delivered
900411,12624,2023-07-22,9333,Net Banking,Cancelled
900412,14156,2024-07-02,2503,UPI,Cancelled
900413,12779,2025-01-27,15364,COD,Delivered
900414,13753,2024-03-20,23467,COD,Delivered
900415,10661,2024-10-01,3497,UPI,Delivered
900416,14366,2023-05-15,10201,Net Banking,Cancelled
900417,13188,2025-05-07,5966,COD,Delivered
900418,14341,2025-05-04,24090,Debit Card,Delivered
900419,14756,2024-07-29,9556,Net Banking,Delivered
900420,10085,2025-02-24,12773,Debit Card,Delivered
900421,13671,2024-06-24,19192,Credit Card,Delivered
900422,10907,2024-05-01,2018,UPI,Delivered
900423,13522,2025-05-31,11824,COD,Delivered
900424,11876,2025-01-07,16065,UPI,Delivered
900425,13959,2024-07-25,2893,UPI,Delivered
900426,12137,2024-04-30,18156,Debit Card,Delivered
900427,12597,2024-07-19,998,COD,Delivered
900428,10854,2025-04-19,7868,Credit Card,Delivered
900429,10507,2024-10-22,23134,UPI,Delivered
900430,10408,2024-02-09,1525,Debit Card,Returned
900431,10524,2024-07-23,13480,Debit Card,Delivered
900432,13051,2024-03-08,3002,COD,Delivered
900433,12398,2024-07-01,2504,Net Banking,Delivered
900434,12900,2024-10-18,20010,Net Banking,Delivered
900435,10328,2023-09-07,2528,Credit Card,Delivered
900436,11836,2023-03-21,10948,Debit Card,Delivered
900437,11310,2023-01-15,5248,Net Banking,Delivered
900438,14719,2023-02-09,20486,UPI,Delivered
900439,12536,2023-03-22,3399,Credit Card,Delivered
900440,12042,2024-05-24,13458,UPI,Delivered
900441,12535,2023-11-03,13199,Net Banking,Delivered
900442,12193,2024-12-05,18222,Debit Card,Cancelled
900443,10756,2024-02-01,20848,Net Banking,Delivered
900444,10146,2024-11-08,9093,Credit Card,Delivered
900445,13823,2025-05-14,10556,Credit Card,Delivered
900446,13575,2023-07-23,21658,UPI,Delivered
900447,11628,2023-07-30,7278,UPI,Delivered
900448,14924,2024-02-03,12398,Credit Card,Delivered
900449,11859,2024-01-08,845,UPI,Cancelled
900450,14723,2024-01-24,6232,COD,Delivered
900451,13599,2023-09-15,6503,Credit Card,Delivered
900452,10630,2023-04-25,8675,UPI,Delivered
900453,13167,2023-11-30,17521,Net Banking,Delivered
900454,13519,2023-12-15,18576,Debit Card,Delivered
900455,14353,2023-08-21,18072,COD,Delivered
900456,13915,2024-05-23,23849,COD,Delivered
900457,10905,2024-03-24,14540,Debit Card,Returned
900458,12618,2023-03-18,18141,Debit Card,Delivered
900459,12790,2025-04-07,11762,Net Banking,Delivered
900460,10108,2024-08-30,19484,Debit Card,Delivered
900461,11043,2023-04-08,3603,COD,Delivered
900462,11389,2024-07-21,12127,Net Banking,Delivered
900463,11677,2024-09-21,23970,Debit Card,Delivered
900464,14256,2024-04-06,23157,Net Banking,Delivered
900465,14196,2024-05-14,3586,Net Banking,Delivered
900466,10265,2024-09-22,7789,UPI,Delivered
900467,13822,2023-02-07,17856,Debit Card,Delivered
900468,12798,2024-11-27,16067,UPI,Delivered
900469,13121,2023-12-24,2011,COD,Cancelled
900470,10677,2023-08-30,5796,Net Banking,Delivered
900471,14895,2023-02-20,24171,COD,Delivered
900472,13487,2024-02-29,17712,Net Banking,Delivered
900473,12707,2023-05-07,23229,Debit Card,Delivered
900474,13970,2023-04-13,13215,Credit Card,Delivered
900475,10608,2024-04-21,2550,Debit Card,Delivered
900476,13426,2023-08-17,15696,Net Banking,Delivered
900477,12395,2024-12-23,20833,Credit Card,Delivered
900478,12860,2024-03-11,4683,Credit Card,Delivered
900479,14897,2024-01-20,7751,Debit Card,Delivered
900480,11161,2023-03-26,20353,COD,Delivered
900481,11848,2023-12-25,9560,Debit Card,Delivered
900482,14058,2025-02-24,4977,Net Banking,Delivered
900483,11492,2023-01-27,22774,COD,Cancelled
900484,12022,2025-05-09,3788,Net Banking,Delivered
900485,14599,2023-03-13,3512,COD,Delivered
900486,13016,2023-04-05,1216,UPI,Cancelled
900487,14567,2024-08-10,18778,COD,Delivered
900488,12738,2024-03-01,11730,UPI,Delivered
900489,12049,2023-01-06,6569,Net Banking,Delivered
900490,14206,2023-03-31,13059,Debit Card,Delivered
900491,13955,2024-08-14,21590,Net Banking,Delivered
900492,10894,2023-08-10,6342,Debit Card,Returned
900493,11088,2024-08-17,9112,UPI,Delivered
900494,14852,2024-08-16,15005,Debit Card,Cancelled
900495,14149,2023-06-01,7031,Net Banking,Delivered
900496,12310,2024-07-10,21477,Net Banking,Delivered
900497,13601,2023-07-31,11839,Net Banking,Delivered
900498,12934,2024-08-05,16748,COD,Delivered
900499,12282,2023-09-20,3998,Net Banking,Delivered
900500,10073,2024-01-17,501,COD,Cancelled
900501,11381,2024-07-23,4537,Credit Card,Cancelled
900502,10484,2023-02-26,16634,UPI,Delivered
900503,11030,2024-03-01,19853,Credit Card,Delivered
900504,13782,2024-09-14,3164,Credit Card,Delivered
900505,14973,2023-05-22,6660,COD,Returned
900506,13780,2024-07-21,15626,COD,Delivered
900507,11832,2024-06-07,16245,UPI,Delivered
900508,14955,2025-05-10,5712,UPI,Delivered
900509,12021,2023-01-15,24359,UPI,Delivered
900510,10779,2023-01-08,9649,Net Banking,Delivered
900511,13476,2023-08-19,18993,Net Banking,Delivered
900512,14724,2023-07-05,6727,UPI,Cancelled
900513,13278,2023-02-22,401,COD,Delivered
900514,10410,2023-05-17,676,Credit Card,Delivered
900515,11060,2023-06-23,8697,UPI,Delivered
900516,12310,2025-05-09,12216,UPI,Delivered
900517,11601,2023-08-07,15672,Credit Card,Delivered
900518,14988,2023-09-20,10549,Debit Card,Delivered
900519,14544,2023-09-12,3963,UPI,Returned
900520,12234,2025-03-22,13778,UPI,Delivered
900521,11653,2023-09-27,22978,Net Banking,Delivered
900522,11298,2024-08-09,1360,Credit Card,Delivered
900523,10352,2023-08-12,22277,UPI,Delivered
900524,13223,2025-06-01,22247,UPI,Delivered
900525,12432,2024-08-26,16001,Debit Card,Cancelled
900526,10465,2023-05-14,5424,Credit Card,Delivered
900527,12514,2023-06-12,9381,UPI,Cancelled
900528,13167,2024-12-10,18246,Debit Card,Delivered
900529,12210,2024-12-01,19879,UPI,Delivered
900530,10556,2023-03-14,12990,COD,Delivered
900531,10300,2025-06-16,1110,Debit Card,Delivered
900532,13867,2024-12-18,9550,COD,Delivered
900533,10356,2024-06-26,10338,UPI,Delivered
900534,10564,2025-06-12,4712,Debit Card,Delivered
900535,14010,2024-09-22,4698,Credit Card,Delivered
900536,14889,2025-03-05,9617,Net Banking,Cancelled
